Cosmetic_ID,Brand,Name,Type
757,China,Glaze,Fast
758,China,Glaze,Fast
759,China,Glaze,First
760,China,Glaze,Nail
761,China,Glaze,Nail
762,China,Glaze,No-Chip
763,China,Glaze,Orange
764,China,Glaze,Patent
765,China,Glaze,Ridge
766,China,Glaze,Strong
767,Color,Club,0-60
768,Color,Club,Chip
769,Color,Club,Cuticle
770,Color,Club,Dry
771,Color,Club,Loosen
772,Color,Club,Milky
773,Color,Club,Nail
774,Color,Club,Smooth
775,Color,Club,Stuck
776,Color,Club,Vitabase
777,Color,Club,Vivid
778,Cult,Nails,Get
779,Cult,Nails,Nail
780,Cult,Nails,Wicked
781,Nubar,Nail,Lacquer
782,Nubar,Foundation,Base
783,Nubar,Nail,Lacquer
784,Nubar,Non,Acetone
785,Nubar,Diamont,Seal
786,Nubar,Cucumber,Cuticle
787,Nubar,Cuticle,Oil
788,Nubar,Foundation,Base
789,Nubar,Freeze,Dry
790,Nubar,Grape,Fruit
791,Nubar,Nail,Weaver
792,Nubar,NU-Nails,Natural
793,Nubar,Nubar,UV
794,Nubar,Passion,Fruit
795,Nubar,Porcelain,Base
796,Nubar,Vanilla,Cuticle
797,Nubar,V,For
798,Nubar,Sweet,Almond
799,Nubar,Ridge,Filler
800,Nubar,Porcelain,Base
801,Nubar,Ultimate,Oval
802,Nubar,Ultimate,Round
803,Nubar,Artist,Round
804,Nubar,Detailer,Oval
805,Nubar,Oval,Detailer
806,Nubar,Oval,Detailer
807,Nubar,Styling,Round
808,Nubar,Oval,Sculpting
809,Nubar,UV,Gel
810,Nubar,UV,Gel
811,Nubar,Magic,Buffer
812,Nubar,Basic,Cuticle
813,Nubar,Black,Head
814,Nubar,Black,Nail
815,Nubar,Blue,Nail
816,Nubar,Cuticle,Pusher
817,Nubar,Cuticle,Pusher
818,Nubar,Hang,Nail
819,Nubar,Nail,Gem
820,Nubar,Professional,Toe
821,Nubar,Purple,Nail
822,Nubar,Red,nail
823,Nubar,Slanted-Ingrown,nail
824,Nubar,Spoon,Cuticle
825,Nubar,Stork,mesh
826,Nubar,Teal,Nail
827,Nubar,Two,Sided
828,Nubar,Delicious,Pear
829,Nubar,Euphoria,Skin
830,Nubar,Hypnotic,Skin
831,Nubar,Island,Breeze
832,Nubar,Pomegranate,Delight
833,Nubar,Vanilla,Passion
834,Nubar,NUVGB,UV
835,Nubar,Black,Currant
836,Nubar,Konna,Latte
837,Nubar,Konna,Latte
838,Nubar,Lavender,Sage
839,Nubar,Lavender,Sage
840,Nubar,Lavender,Sage
841,Nubar,Sherbet,Splash
842,Nubar,Sherbet,Splash
843,Nubar,Waterfall,Mist
844,ORLY,3-Way,Buffer
845,ORLY,Artificial,Nail
846,ORLY,Black,Board
847,ORLY,Bonder,Rubberized
848,ORLY,Calcium,Shield
849,ORLY,Clean,Prep
850,ORLY,Cuticare,Pair
851,ORLY,Cuticle,Care
852,ORLY,Cuticle,Oil+
853,ORLY,Cuticle,Therapy
854,ORLY,Cutique,Cuticle
855,ORLY,Double-Time,Shine
856,ORLY,Extra,Strength
857,ORLY,Flash,Dry
858,ORLY,Fungus,MD
859,ORLY,Garnet,Board
860,ORLY,Gel,FX
861,ORLY,Gentle,Formula
862,ORLY,Glosser,High-Shine
863,ORLY,In,a
864,ORLY,Magnifique,French
865,ORLY,Matte,Top
866,ORLY,Nail,Armor
867,ORLY,Nail,Lacquer
868,ORLY,Nail,Rescue
869,ORLY,Nail,Whitener
870,ORLY,Nails,for
871,ORLY,Nailtrition,Strengthening
872,ORLY,No,Bite
873,ORLY,Polishield,3-in-1
874,ORLY,PrimeTime,Chip
875,ORLY,Rich,Renewal
